&BOXOKMC18
&VERSION                     2020_06_07

&UDEFSECTION
&BATCHNUM  3
&ENDUDEFSECTION


&TIME           (in s)      0.0000000E+00
&ISTEP                      0
&TSTEP           (in s)      0.0000000E+00
&IPATCH                     1
&ITIMESECTION               1
 
&LATT     lattice length(in A):      3.1652000E+00
&BOXLOW                (in LU):    -1.00000000E+02  -1.00000000E+02  -1.00000000E+02
&BOXSIZE               (in LU):    2.00000000E+02   2.00000000E+02   2.00000000E+02
&NGRAIN        0
!                Seed ID          x(LU)          y(LU)          z(LU)
&BOXSEINDEX                IBox      SEUsedIndexFrom        SEUsedIndexTo      SEExpdIndexFrom        SEExpdIndexTo   SEVirtualIndexFrom     SEVirtualIndexTo
&BOXSEDATA                  178                 5359                 5382                 5359                 5382                 5359                 5382
&BOXSEDATA                  179                 5383                 5413                 5383                 5413                 5383                 5413
&BOXSEDATA                  180                 5414                 5446                 5414                 5446                 5414                 5446
&BOXSEDATA                  181                 5447                 5487                 5447                 5487                 5447                 5487
&BOXSEDATA                  182                 5488                 5502                 5488                 5502                 5488                 5502
&BOXSEDATA                  183                 5503                 5538                 5503                 5538                 5503                 5538
&BOXSEDATA                  184                 5539                 5564                 5539                 5564                 5539                 5564
&BOXSEDATA                  185                 5565                 5588                 5565                 5588                 5565                 5588
&BOXSEDATA                  186                 5589                 5632                 5589                 5632                 5589                 5632
&BOXSEDATA                  187                 5633                 5669                 5633                 5669                 5633                 5669
&BOXSEDATA                  188                 5670                 5712                 5670                 5712                 5670                 5712
&BOXSEDATA                  189                 5713                 5735                 5713                 5735                 5713                 5735
&BOXSEDATA                  190                 5736                 5775                 5736                 5775                 5736                 5775
&BOXSEDATA                  191                 5776                 5808                 5776                 5808                 5776                 5808
&BOXSEDATA                  192                 5809                 5843                 5809                 5843                 5809                 5843
&BOXSEDATA                  193                 5844                 5870                 5844                 5870                 5844                 5870
&BOXSEDATA                  194                 5871                 5897                 5871                 5897                 5871                 5897
&BOXSEDATA                  195                 5898                 5923                 5898                 5923                 5898                 5923
&BOXSEDATA                  196                 5924                 5947                 5924                 5947                 5924                 5947
&BOXSEDATA                  197                 5948                 5983                 5948                 5983                 5948                 5983
&BOXSEDATA                  198                 5984                 6005                 5984                 6005                 5984                 6005
&BOXSEDATA                  199                 6006                 6043                 6006                 6043                 6006                 6043
&BOXSEDATA                  200                 6044                 6080                 6044                 6080                 6044                 6080
&BOXSEDATA                  201                 6081                 6120                 6081                 6120                 6081                 6120
&BOXSEDATA                  202                 6121                 6153                 6121                 6153                 6121                 6153
&BOXSEDATA                  203                 6154                 6188                 6154                 6188                 6154                 6188
&BOXSEDATA                  204                 6189                 6215                 6189                 6215                 6189                 6215
&BOXSEDATA                  205                 6216                 6242                 6216                 6242                 6216                 6242
&BOXSEDATA                  206                 6243                 6268                 6243                 6268                 6243                 6268
&BOXSEDATA                  207                 6269                 6292                 6269                 6292                 6269                 6292
&BOXSEDATA                  208                 6293                 6328                 6293                 6328                 6293                 6328
&BOXSEDATA                  209                 6329                 6350                 6329                 6350                 6329                 6350
&BOXSEDATA                  210                 6351                 6388                 6351                 6388                 6351                 6388
&BOXSEDATA                  211                 6389                 6425                 6389                 6425                 6389                 6425
&BOXSEDATA                  212                 6426                 6457                 6426                 6457                 6426                 6457
&BOXSEDATA                  213                 6458                 6485                 6458                 6485                 6458                 6485
&BOXSEDATA                  214                 6486                 6513                 6486                 6513                 6486                 6513
